Occupation,Gender,Income,Political Inclination
analyst,male, high,conservative
barista,female,low,liberal
cook,male, medium,conservative
doctor,female, medium, conservative
analyst,female, low, liberal
doctor,male, medium, conservative
analyst,male, medium, conservative
cook,female, low, liberal
doctor,female, medium, liberal
cook,female, low, liberal
doctor,male, medium, conservative
cook,female, high, liberal
barista,female, medium, liberal
analyst,male, low, liberal
doctor,female, high, conservative
barista,female, medium, conservative
doctor,male, medium, conservative
barista, male, high, conservative
doctor, female, medium, liberal
analyst, male, low, liberal
doctor,male, medium, conservative
cook,male, medium, conservative
doctor,female, high, conservative
analyst,male, high, conservative
barista,female, medium, liberal
doctor,male, medium, conservative
analyst,female, medium, conservative
analyst,male, medium, conservative
doctor,female, medium, liberal
barista, male, medium, conservative
